dataset	superfamily	superfamily_name	n_substrate	n_substrate_total	n_background	n_background_total	odds_ratio	ci_lower	ci_upper	pvalue	pvalue_bh	significant
groel	2.40.50.90		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.30.160.20		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.30.70.1400		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.40.50.1220		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.40.50.20		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.60.40.10		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.80.10.10		0	247	4	663	0.0	0.01588151544656596	5.519531713598156	0.5792428441477931	0.901859111774412	False
groel	3.30.390.30		2	247	3	663	1.7959183673469388	0.29828412688389716	10.812921276999447	0.6168602057633674	0.9252903086450511	False
groel	3.30.460.10	Beta Polymerase, domain 2	2	247	3	663	1.7959183673469388	0.29828412688389716	10.812921276999447	0.6168602057633674	0.9252903086450511	False
groel	3.40.50.970		2	247	3	663	1.7959183673469388	0.29828412688389716	10.812921276999447	0.6168602057633674	0.9252903086450511	False
groel	1.10.8.60		2	247	4	663	1.3448979591836734	0.24477500776511263	7.389441173471829	0.6652077908474221	0.9740542651694394	False
groel	3.40.630.30		2	247	4	663	1.3448979591836734	0.24477500776511263	7.389441173471829	0.6652077908474221	0.9740542651694394	False
groel	3.30.470.20	ATP-grasp fold, B domain	1	247	6	663	0.4451219512195122	0.05331635751031763	3.71618693979842	0.6811326415043006	0.9741780802910346	False
groel	3.90.226.10	2-enoyl-CoA Hydratase; Chain A, domain 1	1	247	6	663	0.4451219512195122	0.05331635751031763	3.71618693979842	0.6811326415043006	0.9741780802910346	False
groel	3.10.129.10	Hotdog Thioesterase	1	247	7	663	0.38095238095238093	0.04662927817172532	3.1123088806741914	0.6901960547959494	0.9757944222977216	False
groel	3.40.50.1000	HAD superfamily/HAD-like	3	247	6	663	1.346311475409836	0.3340954895741682	5.425259081259843	0.7098715983541117	0.9922068931540425	False
groel	3.40.50.1820	alpha/beta hydrolase	4	247	9	663	1.196159122085048	0.36499675033322215	3.920025709930385	0.757596201482736	1.0	False
groel	3.40.30.10	Glutaredoxin	7	247	16	663	1.1794270833333333	0.47929447813808507	2.9022830605184056	0.8123288052844765	1.0	False
groel	1.10.150.20	5' to 3' exonuclease, C-terminal subdomain	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	1.10.287.1150	TPP helical domain	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	1.10.510.10	Transferase(Phosphotransferase) domain 1	1	247	5	663	0.5349593495934959	0.06218587605330401	4.602033835982133	1.0	1.0	False
groel	1.10.8.10	DNA helicase RuvA subunit, C-terminal domain	1	247	3	663	0.8943089430894309	0.09258315767694009	8.638595893224108	1.0	1.0	False
groel	1.20.1050.10		1	247	5	663	0.5349593495934959	0.06218587605330401	4.602033835982133	1.0	1.0	False
groel	1.20.1260.10		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	2.30.22.10	Head domain of nucleotide exchange factor GrpE	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	2.30.30.30		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	2.40.160.10	Porin	2	247	5	663	1.0742857142857143	0.20706021544137118	5.573691659975822	1.0	1.0	False
groel	2.60.300.12	HesB-like domain	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.20.20.220		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.30.1370.10	K Homology domain, type 1	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.30.1490.20	ATP-grasp fold, A domain	1	247	4	663	0.6697154471544715	0.07448654315234726	6.021473962618439	1.0	1.0	False
groel	3.30.200.20	Phosphorylase Kinase; domain 1	1	247	5	663	0.5349593495934959	0.06218587605330401	4.602033835982133	1.0	1.0	False
groel	3.30.559.10	Chloramphenicol acetyltransferase-like domain	2	247	6	663	0.8938775510204081	0.17920380439080447	4.458705990838007	1.0	1.0	False
groel	3.30.9.10	D-Amino Acid Oxidase, subunit A, domain 2	2	247	5	663	1.0742857142857143	0.20706021544137118	5.573691659975822	1.0	1.0	False
groel	3.30.930.10	Bira Bifunctional Protein; Domain 2	2	247	7	663	0.7650145772594752	0.15783679558552238	3.707926920642423	1.0	1.0	False
groel	3.40.250.10	Rhodanese-like domain	1	247	4	663	0.6697154471544715	0.07448654315234726	6.021473962618439	1.0	1.0	False
groel	3.40.309.10	Aldehyde Dehydrogenase; Chain A, domain 2	2	247	5	663	1.0742857142857143	0.20706021544137118	5.573691659975822	1.0	1.0	False
groel	3.40.50.11610	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.40.50.12470		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.40.50.1970		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	17	247	47	663	0.9687326549491212	0.5450979670420353	1.7216042133806106	1.0	1.0	False
groel	3.40.50.620	HUPs	2	247	7	663	0.7650145772594752	0.15783679558552238	3.707926920642423	1.0	1.0	False
