family	hypothesis	test_id	test	pvalue_raw	pvalue_within_family	effect_size	effect_name	pvalue_bh_within_family	family_bh	family_significant	significant_within_family	significant_overall
domain_architecture	H1.1/H1.2	hsp60_3.30.230.10	fisher_exact	0.001305934723695611	0.07770311605988886	inf	odds_ratio	0.04379693646162967	2.818884630105482e-08	True	True	True
domain_architecture	H1.1/H1.2	hsp60_3.90.226.10	fisher_exact	0.0025544260209341236	0.10132556549705357	4.740259740259741	odds_ratio	0.06258343751288603	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.30.10	fisher_exact	0.01350145739797139	0.2117387558456003	5.617021276595745	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.50.140	fisher_exact	0.01350145739797139	0.2117387558456003	5.617021276595745	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.830.10	fisher_exact	0.0167714441470721	0.2117387558456003	7.002118644067797	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.620	fisher_exact	0.017679751867481552	0.2117387558456003	3.6354679802955663	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.70.240	fisher_exact	0.018774287619158232	0.2117387558456003	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.70.870	fisher_exact	0.018774287619158232	0.2117387558456003	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.980.10	fisher_exact	0.018774287619158232	0.2117387558456003	inf	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.20.140.20	fisher_exact	0.01957249003614793	0.2117387558456003	11.172995780590718	odds_ratio	0.20233073692840015	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.970	fisher_exact	0.03508336994207318	0.33674213697231203	4.661016949152542	odds_ratio	0.33059329368492035	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.150	fisher_exact	0.036786956139832405	0.33674213697231203	0.23285428415499362	odds_ratio	0.3338075649725533	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.437.10	fisher_exact	0.04286742880481345	0.3643731448409143	0.0	odds_ratio	0.3555218526172622	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.565.10	fisher_exact	0.04647451365532751	0.3686978083322649	5.578059071729958	odds_ratio	0.3672985756630723	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.479.30	fisher_exact	0.06021941311804072	0.37716369268667616	8.344537815126051	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.70.330	fisher_exact	0.06021941311804072	0.37716369268667616	8.344537815126051	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.261	fisher_exact	0.06021941311804072	0.37716369268667616	8.344537815126051	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.718.10	fisher_exact	0.06021941311804072	0.37716369268667616	8.344537815126051	odds_ratio	0.40801936805747624	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.309.10	fisher_exact	0.07747576654199986	0.4390293437379992	3.36	odds_ratio	0.4745390700697492	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.605.10	fisher_exact	0.07747576654199986	0.4390293437379992	3.36	odds_ratio	0.4745390700697492	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.930.10	fisher_exact	0.12009020372658522	0.5834003976339459	2.3927051671732524	odds_ratio	0.6179452446292134	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.10.20.30	fisher_exact	0.12118979774068182	0.5834003976339459	4.165966386554622	odds_ratio	0.6179452446292134	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.10860	fisher_exact	0.12118979774068182	0.5834003976339459	4.165966386554622	odds_ratio	0.6179452446292134	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.287.110	fisher_exact	0.12256310874662729	0.5834003976339459	0.0	odds_ratio	0.6179452446292134	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.10.450.240	fisher_exact	0.17501720843299623	0.743823135840234	5.539748953974895	odds_ratio	0.7768109410064746	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.2350.10	fisher_exact	0.17501720843299623	0.743823135840234	5.539748953974895	odds_ratio	0.7768109410064746	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_4.10.320.10	fisher_exact	0.17501720843299623	0.743823135840234	5.539748953974895	odds_ratio	0.7768109410064746	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.12.10	fisher_exact	0.19590508182594044	0.7770901579095637	2.773109243697479	odds_ratio	0.7945539159979748	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.390.30	fisher_exact	0.19590508182594044	0.7770901579095637	2.773109243697479	odds_ratio	0.7945539159979748	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.160.20	fisher_exact	0.21983736015867922	0.8293253158202416	2.780590717299578	odds_ratio	0.8415648943574439	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.90.1150.10	fisher_exact	0.24564933552339036	0.8293253158202416	1.8553191489361702	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.300	fisher_exact	0.25961061116018264	0.8293253158202416	1.3827835252781573	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.150.20	fisher_exact	0.28981500374782043	0.8293253158202416	2.7656903765690375	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.70.100	fisher_exact	0.28981500374782043	0.8293253158202416	2.7656903765690375	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
