uniprot_id	gene_symbol	protein_name	mitocarta_score	sub_mito_localization	pathways	is_matrix	is_im	is_ims	is_om
P56378	ATP5MPL	ATP synthase membrane subunit 6.8PL	14.159	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q9Y2D0	CA5B	carbonic anhydrase 5B	14.1358	Matrix	Metabolism > Amino acid metabolism > Urea cycle	1	0	0	0
Q13057	COASY	Coenzyme A synthase	14.1358	Matrix	Metabolism > Metals and cofactors > Coenzyme A metabolism	1	0	0	0
P0C7P0	CISD3	CDGSH iron sulfur domain 3	14.1358	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
O43708	GSTZ1	glutathione S-transferase zeta 1	14.1262	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	1	0	0	0
Q6YFQ2	COX6B2	cytochrome c oxidase subunit 6B2	14.0781	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q9HC38	GLOD4	glyoxalase domain containing 4	14.0669	Matrix	0	1	0	0	0
P09110	ACAA1	acetyl-CoA acyltransferase 1	14.0449	unknown	Metabolism > Lipid metabolism	0	0	0	0
Q9UKG9	CROT	carnitine O-octanoyltransferase	14.0373	unknown	Metabolism > Lipid metabolism > Fatty acid oxidation	0	0	0	0
Q9HBH1	PDF	peptide deformylase, mitochondrial	14.0367	Matrix	Mitochondrial central dogma > Translation > fMet processing | Protein import, sorting and homeostasis > Protein homeostasis	1	0	0	0
Q49B96	COX19	cytochrome c oxidase assembly factor COX19	13.9987	IMS	OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors	0	0	1	0
P48728	AMT	aminomethyltransferase	13.9633	Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system | Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
Q8NCN5	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	13.9633	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
Q9BYT8	NLN	neurolysin	13.9633	Matrix	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	1	0	0	0
Q9Y3E2	BOLA1	bolA family member 1	13.9219	Matrix	Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	1	0	0	0
P22557	ALAS2	5'-aminolevulinate synthase 2	13.85	Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing	1	0	0	0
Q8TAA5	GRPEL2	GrpE like 2, mitochondrial	13.8497	Matrix	Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis	1	0	0	0
P49419	ALDH7A1	aldehyde dehydrogenase 7 family member A1	13.8432	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q9BXW7	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	13.8432	Matrix	0	1	0	0	0
P55789	GFER	growth factor, augmenter of liver regeneration	13.8041	IMS	Protein import, sorting and homeostasis > Protein import and sorting > MIA40	0	0	1	0
Q96T52	IMMP2L	inner mitochondrial membrane peptidase subunit 2	13.8041	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases	0	1	0	0
Q96KJ9	COX4I2	cytochrome c oxidase subunit 4I2	13.7961	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q9NYK5	MRPL39	mitochondrial ribosomal protein L39	13.7805	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q8N5Z0	AADAT	aminoadipate aminotransferase	13.7676	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
Q9BWH2	FUNDC2	FUN14 domain containing 2	13.7634	MOM	Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling	0	0	0	1
O75608	LYPLA1	lysophospholipase 1	13.7631	unknown	Metabolism > Lipid metabolism | Signaling	0	0	0	0
P29803	PDHA2	pyruvate dehydrogenase E1 subunit alpha 2	13.7592	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	1	0	0	0
Q9UGC7	MTRF1L	mitochondrial translational release factor 1 like	13.7285	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q969Y2	GTPBP3	GTP binding protein 3, mitochondrial	13.7285	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
Q9H903	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	13.7285	Matrix	Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
Q96TA2	YME1L1	YME1 like 1 ATPase	13.7265	MIM	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	0	1	0	0
P49753	ACOT2	acyl-CoA thioesterase 2	13.6365	Matrix	Metabolism > Lipid metabolism	1	0	0	0
Q96IL0	COA8	cytochrome c oxidase assembly factor 8	13.5535	MIM	OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	0	1	0	0
Q96EY8	MMAB	metabolism of cobalamin associated B	13.5461	Matrix	Metabolism > Vitamin metabolism > Vitamin B12 metabolism	1	0	0	0
P50336	PPOX	protoporphyrinogen oxidase	13.5423	MIM	Metabolism > Metals and cofactors > Heme synthesis and processing	0	1	0	0
P28288	ABCD3	ATP binding cassette subfamily D member 3	13.5303	Membrane	Small molecule transport > ABC transporters	0	1	0	0
Q9NTG7	SIRT3	sirtuin 3	13.5038	Matrix	Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling	1	0	0	0
Q86WU2	LDHD	lactate dehydrogenase D	13.493	MIM	Metabolism > Carbohydrate metabolism	0	1	0	0
B4DEF8	MRPL45	mitochondrial ribosomal protein L45	13.4907	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
Q9H3J6	C12orf65	chromosome 12 open reading frame 65	13.4869	Matrix	Mitochondrial central dogma > Translation > Translation factors	1	0	0	0
Q96LU5	IMMP1L	inner mitochondrial membrane peptidase subunit 1	13.4869	MIM	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases	0	1	0	0
P54098	POLG	DNA polymerase gamma, catalytic subunit	13.4692	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair	1	0	0	0
Q5TC12	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	13.4272	Matrix	OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors	1	0	0	0
P78537	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1	13.397	unknown	Signaling	0	0	0	0
Q3SY69	ALDH1L2	aldehyde dehydrogenase 1 family member L2	13.3962	Matrix	Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
Q8N8Q8	COX18	cytochrome c oxidase assembly factor COX18	13.3581	MIM	OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors	0	1	0	0
P36551	CPOX	coproporphyrinogen oxidase	13.3434	MIM	Metabolism > Metals and cofactors > Heme synthesis and processing	0	1	0	0
Q13423	NNT	nicotinamide nucleotide transhydrogenase	13.3432	MIM	Metabolism > Metals and cofactors > NAD biosynthesis and metabolism	0	1	0	0
A1L188	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	13.3169	IMS	OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors	0	0	1	0
Q9Y6H3	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	13.312	IMS	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	0	0	1	0
Q8WVC6	DCAKD	dephospho-CoA kinase domain containing	13.3108	Membrane	0	0	1	0	0
P56134	ATP5MF	ATP synthase membrane subunit f	13.2425	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q9BWM7	SFXN3	sideroflexin 3	13.201	MIM	Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins	0	1	0	0
Q9UDR5	AASS	aminoadipate-semialdehyde synthase	13.1893	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism	1	0	0	0
Q9NR28	DIABLO	diablo IAP-binding mitochondrial protein	13.1755	IMS	Mitochondrial dynamics and surveillance > Apoptosis	0	0	1	0
Q7Z4L0	COX8C	cytochrome c oxidase subunit 8C	13.1755	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q9NR77	PXMP2	peroxisomal membrane protein 2	13.1014	MIM	0	0	1	0	0
Q9BYV1	AGXT2	alanine--glyoxylate aminotransferase 2	13.0867	Matrix	Metabolism > Amino acid metabolism > Glyoxylate metabolism	1	0	0	0
Q9UI32	GLS2	glutaminase 2	13.0829	Matrix	Metabolism > Amino acid metabolism > Glutamate metabolism	1	0	0	0
Q9BUR5	APOO	apolipoprotein O	13.0784	MIM	Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	0	1	0	0
Q709F0	ACAD11	acyl-CoA dehydrogenase family member 11	13.0669	MIM	Metabolism > Lipid metabolism > Fatty acid oxidation	0	1	0	0
A6NC05	C5orf63	chromosome 5 open reading frame 63	13.0459	Matrix	0	1	0	0	0
Q86XE5	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	13.0192	Matrix	Metabolism > Amino acid metabolism > Glyoxylate metabolism	1	0	0	0
Q6DKK2	TTC19	tetratricopeptide repeat domain 19	13.0076	MIM	OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors	0	1	0	0
Q9NPE2	NGRN	neugrin, neurite outgrowth associated	12.9259	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly	1	0	0	0
Q8N3R3	TCAIM	T cell activation inhibitor, mitochondrial	12.9201	Matrix	0	1	0	0	0
P23434	GCSH	glycine cleavage system protein H	12.8668	Matrix	Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system	1	0	0	0
Q9NXA8	SIRT5	sirtuin 5	12.8138	Matrix	Metabolism > Metals and cofactors > NAD biosynthesis and metabolism	1	0	0	0
Q8TD30	GPT2	glutamic--pyruvic transaminase 2	12.7592	Matrix	Metabolism > Amino acid metabolism > Glutamate metabolism	1	0	0	0
Q96B49	TOMM6	translocase of outer mitochondrial membrane 6	12.7538	MOM	Protein import, sorting and homeostasis > Protein import and sorting > TOM	0	0	0	1
Q96A26	FAM162A	family with sequence similarity 162 member A	12.731	MIM	0	0	1	0	0
