family	hypothesis	test	statistic	p_value	effect_size	ci_low	ci_high	n1	n2	direction	p_bh_within	sig_within_family	family_significant	significant_overall
stability_asymmetry	H2.1_hsp60_mean_plddt	Wilcoxon signed-rank	4310.0	0.11854049565107788	0.15098985521520733			142	142	N>C	0.18716920365959666	False	True	False
stability_asymmetry	H2.1_hsp60_frac_helix	Wilcoxon signed-rank	4817.0	0.5971832761557646	0.051117896188318725			142	142	N>C	0.6398392244526049	False	True	False
stability_asymmetry	H2.1_hsp60_frac_strand	Wilcoxon signed-rank	4333.5	0.32615607379982847	0.09634031904910854			142	142	N>C	0.40769509224978556	False	True	False
stability_asymmetry	H2.1_hsp60_frac_plddt_gt70	Wilcoxon signed-rank	2519.5	0.06133542096951911	0.20369785082174463			142	142	C>N	0.10823897818150433	False	True	False
stability_asymmetry	H2.1_hsp60_frac_hydrophobic	Wilcoxon signed-rank	3543.0	0.001790930084160496	0.3020782034866542			142	142	N>C	0.004884354774983172	True	True	True
stability_asymmetry	H2.1_matrix_bg_relative_contact_order	Wilcoxon signed-rank	8944.0	2.4324741711502126e-09	0.4343894264212989			251	251	N>C	3.648711256725319e-08	True	True	True
stability_asymmetry	H2.1_matrix_bg_mean_plddt	Wilcoxon signed-rank	14732.0	0.00014011718966730732	0.26160940280179434			282	282	N>C	0.0005048610855030018	True	True	True
stability_asymmetry	H2.1_matrix_bg_frac_helix	Wilcoxon signed-rank	18603.0	0.3252052172166582	0.06758890308999323			282	282	N>C	0.40769509224978556	False	True	False
stability_asymmetry	H2.1_matrix_bg_frac_strand	Wilcoxon signed-rank	17524.0	0.31707879173049014	0.06972793629727936			282	282	N>C	0.40769509224978556	False	True	False
stability_asymmetry	H2.1_matrix_bg_frac_plddt_gt70	Wilcoxon signed-rank	9917.5	7.739950144074436e-06	0.33093840653039197			282	282	N>C	3.869975072037218e-05	True	True	True
stability_asymmetry	H2.1_matrix_bg_frac_hydrophobic	Wilcoxon signed-rank	16253.0	0.0069695883828215606	0.18537453324311456			282	282	N>C	0.014934832248903344	True	True	True
stability_asymmetry	H2.1_mito_bg_relative_contact_order	Wilcoxon signed-rank	23440.0	7.127624639787439e-18	0.4821320077326705			425	425	N>C	2.1382873919362317e-16	True	True	True
stability_asymmetry	H2.1_mito_bg_mean_plddt	Wilcoxon signed-rank	41154.0	7.634071939313265e-07	0.2626581144515713			472	472	N>C	5.725553954484949e-06	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_helix	Wilcoxon signed-rank	51360.0	0.13303599706603328	0.07980076683269431			472	472	N>C	0.19955399559904993	False	True	False
stability_asymmetry	H2.1_mito_bg_frac_strand	Wilcoxon signed-rank	40494.5	0.0066964518557150925	0.14986458967522515			472	472	N>C	0.014934832248903344	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_plddt_gt70	Wilcoxon signed-rank	28849.0	4.817718996074499e-09	0.3315801668211307			472	472	N>C	4.817718996074499e-08	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_hydrophobic	Wilcoxon signed-rank	45001.0	0.0002653321753648219	0.19373275522270397			472	472	N>C	0.0007959965260944657	True	True	True
stability_asymmetry	H2.2_GroEL_vs_ecoli_bg_relative_contact_order	Mann-Whitney U	102727.0	0.0582405259877242	0.1014712056539081			124	1844	bg_higher	0.10823897818150433	False	True	False
stability_asymmetry	H2.2_HSP60_vs_mito_bg_relative_contact_order	Mann-Whitney U	26843.0	0.5363578778808642	0.03572519083969461			131	425	bg_higher	0.5959531976454047	False	True	False
stability_asymmetry	H2.2_GroEL_vs_ecoli_bg_mean_plddt	Mann-Whitney U	135920.0	0.4469796271911174	0.038503710306091454			139	2034	bg_higher	0.5157457236820585	False	True	False
stability_asymmetry	H2.2_HSP60_vs_mito_bg_mean_plddt	Mann-Whitney U	30496.5	0.10378608458833788	0.08998269276677007			142	472	bg_higher	0.1729768076472298	False	True	False
stability_asymmetry	H2.3_GroEL_class_relative_contact_order	Kruskal-Wallis	0.5234154772424517	0.7697359549280998	-0.012513428158962274			121	3	class_effect	0.7962785740635515	False	True	False
stability_asymmetry	H2.3_GroEL_class_mean_plddt	Kruskal-Wallis	0.1663659313207404	0.9201827699687983	-0.013786722320896689			136	3	class_effect	0.9201827699687983	False	True	False
mts_targeting	H3.1_HSP60_matrix_enrichment	Fisher exact	3.290344709312296	1.596978833398797e-16	3.290344709312296	2.4587949393544726	4.403119647278009	266	873	enriched	1.596978833398797e-16	True	True	True
mts_targeting	H3.2_MTS_pre_domain	Binomial	0.8440366972477065	3.4153436180572293e-51	0.8440366972477065			436	436	pre_domain_dominant	6.830687236114459e-51	True	True	True
