family	hypothesis	test	n1	n2	statistic	p_value	p_bh_within	effect_size	ci_low	ci_high	direction	sig_within_family	family_significant	significant_overall
domain_architecture	H1.2_GroEL_SF_3.40.50.720	Fisher exact	499	51168	2.1776396183942546	0.0361385040051592	0.0377097433097313	2.1776396183942546	1.075087685307206	4.410909335497799	enriched	True	True	True
domain_architecture	H1.2_GroEL_SF_3.40.50.300	Fisher exact	499	51168	1.6216873717507092	0.0382124524673825	0.0382124524673825	1.6216873717507092	1.054231334307003	2.4945852453005126	enriched	True	True	True
mts_targeting	H3.2_MTS_pre_domain	Binomial	436	436	0.8440366972477065	3.4153436180572293e-51	6.83068723611446e-51	0.8440366972477065			pre_domain_dominant	True	True	True
mts_targeting	H3.1_HSP60_matrix_enrichment	Fisher exact	266	873	3.290344709312296	1.5969788333969086e-16	1.5969788333969086e-16	3.290344709312296	2.458794939354473	4.403119647278009	enriched	True	True	True
stability_asymmetry	H2.1_mito_bg_relative_contact_order	Wilcoxon signed-rank	425	425	23440.0	7.127624639787439e-18	2.565944870323478e-16	0.4821320077326705			N>C	True	True	True
stability_asymmetry	H2.1_matrix_bg_relative_contact_order	Wilcoxon signed-rank	251	251	8944.0	2.4324741711502126e-09	4.3784535080703835e-08	0.4343894264212989			N>C	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_plddt_gt70	Wilcoxon signed-rank	472	472	28849.0	4.817718996074499e-09	5.781262795289399e-08	0.3315801668211307			N>C	True	True	True
stability_asymmetry	H2.4_GroEL_vs_ecoli_bg_frac_strand	Mann-Whitney U (DSSP)	252	4035	603992.0	5.00228561614263e-07	4.502057054528368e-06	-0.1880018095631479			substrate_higher	True	True	True
stability_asymmetry	H2.1_mito_bg_mean_plddt	Wilcoxon signed-rank	472	472	41154.0	7.634071939313265e-07	5.496531796305551e-06	0.2626581144515713			N>C	True	True	True
stability_asymmetry	H2.4_GroEL_vs_ecoli_bg_frac_coil	Mann-Whitney U (DSSP)	252	4035	599194.5	1.910466732035501e-06	1.1462800392213009e-05	-0.1785655278220335			substrate_higher	True	True	True
stability_asymmetry	H2.1_hsp60_relative_contact_order	Wilcoxon signed-rank	131	131	2341.0	5.285692803498004e-06	2.7183562989418303e-05	0.4584779088595882			N>C	True	True	True
stability_asymmetry	H2.1_matrix_bg_frac_plddt_gt70	Wilcoxon signed-rank	282	282	9917.5	7.739950144074436e-06	3.4829775648334964e-05	0.3309384065303919			N>C	True	True	True
stability_asymmetry	H2.4_GroEL_vs_ecoli_bg_frac_helix	Mann-Whitney U (DSSP)	252	4035	425823.0	1.4734683123980295e-05	5.893873249592118e-05	0.1624417300997226			bg_higher	True	True	True
stability_asymmetry	H2.1_groel_relative_contact_order	Wilcoxon signed-rank	124	124	2304.0	8.944768932489034e-05	0.0003220116815696	0.4054193548387096			N>C	True	True	True
stability_asymmetry	H2.1_matrix_bg_mean_plddt	Wilcoxon signed-rank	282	282	14732.0	0.0001401171896673	0.0004543749769527	0.2616094028017943			N>C	True	True	True
stability_asymmetry	H2.1_groel_frac_plddt_gt70	Wilcoxon signed-rank	139	139	1670.0	0.0001514583256509	0.0004543749769527	0.4219453097957771			N>C	True	True	True
stability_asymmetry	H2.4_HSP60_vs_matrix_bg_frac_helix	Mann-Whitney U (DSSP)	266	338	52943.5	0.0001751670602026	0.000485078012869	-0.1777261200338122			substrate_higher	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_hydrophobic	Wilcoxon signed-rank	472	472	45001.0	0.0002653321753648	0.0006822827366523	0.1937327552227039			N>C	True	True	True
stability_asymmetry	H2.1_hsp60_frac_hydrophobic	Wilcoxon signed-rank	142	142	3543.0	0.0017909300841604	0.0042982322019851	0.3020782034866542			N>C	True	True	True
